"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4081;"Santa Fe de Mondújar";34.84;41905.76;216;2;20.9;503;260;351;143;44.3;16.1;21.9;2.8;64;"Marruecos";31;52;1;5;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"20.6";"-";"-"
4082;"Senés";50.21;37925.47;1013;1;49.6;290;165;206;82;56;4.1;31.4;-7.2;24;"Reino Unido";16;21;1;3;0;"PARTIDO POPULAR";"-";"-";"-";"-";"19.899999999999999";"-";"-"
4083;"Serón";166.16;78080.69;800;14;78.2;2119;1104;1645;460;49.5;13.4;28.3;-11.4;122;"Reino Unido";95;161;15;30;7;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"13.7";"21810";"18386"
4084;"Sierro";27.62;26576.36;752;1;74.5;381;205;374;5;50.5;9.4;26.8;-12.5;25;"Reino Unido";12;17;0;7;3;"JUNTOS POR SIERRO";"-";"-";"-";"-";"24.2";"-";"-"
4085;"Somontín";16.18;30574.47;828;1;86.1;526;277;408;113;50.6;11.2;26;-15.2;60;"Reino Unido";30;119;1;1;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"10.8";"-";"-"
4086;"Sorbas";249;79973.32;402;32;55.4;2504;1305;2292;235;47.5;16.9;27.2;-8.6;578;"Reino Unido";127;159;15;36;10;"PARTIDO POPULAR";"-";"*";"-";"*";"20.7";"18447";"16009"
4087;"Suflí";10.08;22010.98;633;1;75.8;229;120;208;21;50;7.9;21.8;-21.9;32;"Reino Unido";12;39;0;1;1;"PARTIDO POPULAR";"-";"-";"-";"-";"26.6";"-";"-"
4088;"Tabernas";280.17;71727.35;404;1;29.5;3996;2071;3343;689;43.1;18.4;19.2;9.3;1063;"Rumanía";297;285;45;36;19;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"20.7";"18212";"15798"
4089;"Taberno";44.03;36421.71;700;6;102;963;477;728;230;49.2;17.9;29.7;-19.2;179;"Reino Unido";67;79;5;13;1;"PARTIDO POPULAR";"-";"*";"-";"*";"16.100000000000001";"-";"-"
4090;"Tahal";94.53;60513.97;1012;2;55.2;378;194;299;74;52.5;9.8;30.7;-26.8;53;"Marruecos";27;66;1;5;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"13.8";"-";"-"
4091;"Terque";15.71;39953.87;278;1;27.2;400;211;366;34;52.2;11.5;27.3;-15;55;"Marruecos";31;49;1;7;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"21.1";"-";"-"
4092;"Tíjola";67.34;47843.19;681;5;81.8;3504;1753;3315;203;44.1;18.5;20;-8.3;204;"Marruecos";172;189;25;51;21;"PARTIDO POPULAR";"-";"-";"-";"-";"17.5";"23218";"19354"
4093;"Turre";107.89;54228.43;48;6;74.8;4224;2186;3800;292;46.4;18.1;26.1;3.5;1641;"Reino Unido";438;497;37;44;15;"PARTIDO POPULAR";"-";"*";"-";"*";"17.8";"18957";"16318"
4094;"Turrillas";39.14;29981.25;839;1;45.2;278;152;179;99;49.8;12.6;27;15.4;27;"Rumanía";20;35;0;1;0;"PARTIDO POPULAR";"-";"-";"-";"-";"14.2";"-";"-"
4095;"Uleila del Campo";38.64;27139.45;619;2;53.4;833;417;742;78;49.9;13.8;29.9;-17.9;82;"Reino Unido";27;44;2;16;3;"PARTIDO POPULAR";"-";"-";"-";"-";"18.399999999999999";"-";"-"
